ZONE,ENTITY,SUB_ENTITY,RAW_FILENAME,FILE_SIZE
Europe,FR-001,Antony-PF,b3a536c2/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/Status/2020_07_04_MachineState_28266.log/20200704_105652_877.zip,1486
Europe,FR-001,Antony-PF,52eea7ce/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200702_031220_884.zip,1391
Europe,FR-001,Antony-PF,74d409a8/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_120150_879.zip,1320
Europe,FR-001,Antony-PF,90b64eee/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200703_030208_571.zip,1309
Europe,FR-001,Antony-PF,02f5e65b/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_02_JobState_28180.log/20200702_133012_884.zip,1294
Europe,FR-001,Antony-PF,104aa114/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200703_231229_884.zip,1236
Europe,FR-001,Antony-PF,0bcd2861/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_110521_943.zip,1226
Europe,FR-001,Antony-PF,2a525528/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/Status/2020_07_03_MachineState_28266.log/20200703_035815_581.zip,1090
Europe,FR-001,Antony-PF,d7dfbe73/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_072943_588.zip,1081
Europe,FR-001,Antony-PF,c7857de7/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_03_JobState_28266.log/20200704_015921_573.zip,1073
Europe,FR-001,Antony-PF,d4343420/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/JobStateHistory/2020_07_04_JobState_28180.log/20200704_135813_884.zip,1036
Europe,FR-001,Antony-PF,ef198df2/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_01_JobState_28213.log/20200702_014618_884.zip,1001
Europe,FR-001,Antony-PF,b7f02187/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_04_JobState_28213.log/20200704_100300_884.zip,947
Europe,FR-001,Antony-PF,e4fc18fc/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO2/JobStateHistory/2020_07_02_JobState_28213.log/20200702_055240_160.zip,905
Europe,FR-001,Antony-PF,1590490a/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/Status/2020_07_03_MachineState_28266.log/20200703_235916_572.zip,881
Europe,FR-001,Antony-PF,c282f969/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO1/Status/2020_07_04_MachineState_28180.log/20200704_093756_884.zip,853
Europe,FR-001,Antony-PF,a073a0f1/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/Status/2020_07_04_MachineState_28239.log/20200704_151300_876.zip,851
Europe,FR-001,Antony-PF,231fc975/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO3/Status/2020_07_02_MachineState_28239.log/20200702_100349_884.zip,841
Europe,FR-001,Antony-PF,1b8b6650/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_03_JobState_28239.log/20200704_015933_884.zip,834
Europe,FR-001,Antony-PF,c884632e/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO4/Status/2020_07_03_MachineState_28266.log/20200703_055949_572.zip,819
Europe,FR-001,Antony-PF,4aa9c9ce/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO3/JobStateHistory/2020_07_02_JobState_28239.log/20200703_020000_884.zip,819
Europe,FR-001,Antony-PF,cf335ca8/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO1/Status/2020_07_03_MachineState_28180.log/20200703_033725_884.zip,805
Europe,FR-001,Antony-PF,47447ff3/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO4/JobStateHistory/2020_07_04_JobState_28266.log/20200704_030227_877.zip,784
Europe,FR-001,Antony-PF,c6508935/Europe/Antony/2020/07/02/Manufacturing/VFT-orbit/VO4/Status/2020_07_02_MachineState_28266.log/20200702_074822_876.zip,771
Europe,FR-001,Antony-PF,749a3032/Europe/Antony/2020/07/04/Manufacturing/VFT-orbit/VO2/Status/2020_07_04_MachineState_28213.log/20200704_175903_884.zip,768
Europe,FR-001,Antony-PF,2f89d92e/Europe/Antony/2020/07/03/Manufacturing/VFT-orbit/VO2/Status/2020_07_02_MachineState_28213.log/20200703_011412_884.zip,729
